gene_symbol,uniprot_accession,chembl_target_id,target_class,liability_category,severity_tier,cut_threshold_pki,flag_threshold_pki,direction_sensitivity,cognition_context_rationale
HTR6,P50406,CHEMBL3371,GPCR,feature_cognition,3,,5.0,either,"Idalopirdine target - efficacy candidate not liability"
HTR7,P34969,CHEMBL3155,GPCR,circadian_mood,3,,5.0,partial_agonist,"Vortioxetine partial agonism; circadian + mood"
OPRK1,P41145,CHEMBL237,GPCR,dysphoria_sedation,2,,6.0,either,"Salvinorin-class dysphoria; aticaprant antagonist depression class"
OPRD1,P41143,CHEMBL236,GPCR,seizure_mood,2,,6.0,agonist,"SNC80-class convulsant at high doses; mood-relevant"
CACNA1C,Q13936,CHEMBL1940,ion_channel,cardiotox_CiPA,2,,6.0,antagonist,"Cav1.2 CiPA second axis after hERG; verapamil/diltiazem class"
SCN5A,Q14524,CHEMBL1971,ion_channel,conduction_Brugada,2,,6.0,antagonist,"Nav1.5 = QRS widening; bupropion seizure correlate (central Nav); Brugada-like"
KCNA5,P22460,CHEMBL4306,ion_channel,atrial_repolarization,3,,5.0,antagonist,"Kv1.5; informational only"
KCND3,Q9UK17,CHEMBL2002,ion_channel,cardiac_Ito,3,,5.0,antagonist,"Kv4.3; informational"
GABRA1,P14867,CHEMBL1900,ion_channel,sedation_dependence,2,,6.0,positive_allosteric,"zolpidem α1 sedation; chronic = tolerance/dependence"
GABRA2,P47869,CHEMBL2093872,ion_channel,feature_anxiolysis,3,,5.0,positive_allosteric,"TPA023 class anxiolytic without sedation"
GABRA3,P34903,CHEMBL2093872,ion_channel,feature_anxiolysis,3,,5.0,positive_allosteric,"α3 contributes to anxiolytic profile"
GABRA5,P31644,CHEMBL2093872,ion_channel,feature_cognition,3,,5.0,negative_allosteric,"α5 NAM = cognition (Dawson 2006; Atack 2009; α5IA Down syndrome Braudeau 2011) - FEATURE"
CHRNA3,P32297,CHEMBL2109244,ion_channel,autonomic_nausea,2,,6.0,agonist,"α3β4 ganglionic mediates varenicline/cytisine nausea"
CHRNB4,P30926,CHEMBL2109244,ion_channel,autonomic_GI,2,,6.0,agonist,"β4 subunit ganglionic nAChR"
CHRNA4,P43681,CHEMBL1907589,ion_channel,autonomic_seizure,2,,6.0,agonist,"α4β2 nAChR mediates nicotine reinforcement; varenicline neuropsych AEs"
TMEM97,Q5BJF2,CHEMBL4153,receptor,informational,3,,5.0,either,"σ2 cholesterol/autophagy; no withdrawal precedent"
TAAR1,Q96RJ0,CHEMBL3553,GPCR,feature_or_liability,3,,5.0,partial_agonist,"Ulotaront SEP-363856 schizophrenia BTD; modafinil weak partial-positive (Simmler 2013 Br J Pharmacol EC50 ~2.5µM)"
MTNR1A,P48039,CHEMBL1945,GPCR,sleep_architecture,3,,5.0,either,"MT1 - circadian phase impact; could be feature"
MTNR1B,P49286,CHEMBL1946,GPCR,sleep_glucose,3,,5.0,either,"MT2 - glucose homeostasis variant signal"
TACR1,P25103,CHEMBL249,GPCR,nausea_mood,3,,5.0,antagonist,"Aprepitant antiemetic; mood literature"
NR3C1,P04150,CHEMBL2034,nuclear_receptor,HPA_axis,2,,6.0,either,"Chronic GR engagement = immune/metabolic dysregulation; mifepristone"
ESR1,P03372,CHEMBL206,nuclear_receptor,endocrine_thrombosis,2,,6.0,either,"SERM class endocrine disruption in healthy chronic dosing"
ESR2,Q92731,CHEMBL242,nuclear_receptor,endocrine,2,,6.0,either,"Paired with ESR1"
NTRK1,P04629,CHEMBL2815,kinase,pain_sensory,3,,5.0,either,"TrkA - pan-TRK kinase cardiotoxicity (larotrectinib/entrectinib)"
NTRK3,Q16288,CHEMBL5314,kinase,pain_sensory,3,,5.0,either,"TrkC - same pan-TRK class"
