hypothesis_id,claim,domain,verdict,died_on,killed_by,evidence,failure_mode,keystone,keystone_predicate,revival_test,status
H-klotho-glun2b,Peripherally administered klotho enhances cognition by driving GluN2B-containing NMDA receptors into the postsynaptic density.,trash-can candidate,REFUTED,2026-09-20,reports/pipeline/trash_can_candidates_2026-09.md,"The GluN2B result belongs to LIFELONG TRANSGENIC OVEREXPRESSION (Dubal 2014, PMID 24813892) and is explicitly contradicted in the acute peripheral-protein paradigm that the macaque protocol actually models: Leon 2017 (PMID 28793260) reports that synaptic GluN2B did NOT differ between vehicle and drug despite cognitive enhancement. The cognitive effect is real; this explanation of it is not.",mechanism_contradicted,,,,PERMANENTLY_CLOSED
H-knecht-2004,"Knecht 2004 provides a levodopa-plus-training human result bearing directly on the durability verdict, and is the cheapest available falsification of it.",durability precedent,ABSTAINED,2026-07-28,access failure (publisher returned HTTP 403); recorded in the open-items list,"No verdict was reached. The full text could not be retrieved, so the row was never adjudicated and never entered any ledger. This is an unresolved question recorded as unresolved, which is the correct handling and is also why it must be in the archive rather than in a to-do list.",provenance_failed,The PDF. Nothing else.,"ledger_rows_at_least(paired_experience_ledger.csv, 16)","Obtain the full text, adjudicate the row, and re-run scripts/124.",DEAD
H-nsi189-healthy,"NSI-189 improves objective cognition, and the improvement persists after washout.",trash-can candidate,REFUTED,2026-09-20,reports/pipeline/trash_can_candidates_2026-09.md,"The Phase 2 signal is SELF-REPORT only and dose-discordant: at 40 mg, SDQ -8.2 (p = 0.04) and MGH-CPFQ -1.9 (p = 0.035); at 80 mg all null. The objective Cogstate battery showed NO significant difference at either dose (PMID 30626911). The trial had no washout or follow-up period, so the persistence claim asserts something never measured. The molecule is now ALTO-100 / amdiglurax, and Alto's Phase 2b (NCT05712187, n = 301) enriched for a memory-linked biomarker and still missed its primary endpoint in October 2024. The one healthy-volunteer study (NCT01310881) administered no cognitive battery.",wrong_population,"Every cognitive datum is in depressed patients and is subjective. No healthy adult has been given NSI-189 and tested. The claim is untested in the population it is about, rather than refuted in it.",ci_recorded(nsi_189),Re-adjudicate if a healthy-adult NSI-189 cognitive row with an interval is ever curated into the healthy-adult ledger.,DEAD
H-null-b_vitamins,b_vitamins enhances cognition in healthy adults.,healthy-adult ledger,REFUTED,2026-07-28,data/raw/healthy_adult_cognition_ledger.csv (enhances_healthy_young = 0); classification derived by scripts/129_stepping_stone_archive.py,"g = +0.000, CI [-0.050, +0.060], n_studies = 4.0, source PMID:24965307. Classified measured_null against target g = 0.25.",measured_null,,,,PERMANENTLY_CLOSED
H-null-bacopa_monnieri,bacopa_monnieri enhances cognition in healthy adults.,healthy-adult ledger,REFUTED,2026-07-28,data/raw/healthy_adult_cognition_ledger.csv (enhances_healthy_young = 0); classification derived by scripts/129_stepping_stone_archive.py,"g = +0.170, CI [-0.520, +0.860], n_studies = 9.0, source PMID:40213691. Classified underpowered against target g = 0.25.",underpowered,The interval ADMITS an effect of practical size: its upper bound reaches +0.860 against a target of 0.25. A label of 0 here asserts a refutation the data do not contain.,interval_excludes_target(bacopa_monnieri),"Await or curate more precise evidence. This keystone resolves DOWNWARD: when it fires, the hypothesis is properly closed rather than revived.",DEAD
H-null-cannabidiol,cannabidiol enhances cognition in healthy adults.,healthy-adult ledger,REFUTED,2026-07-28,data/raw/healthy_adult_cognition_ledger.csv (enhances_healthy_young = 0); classification derived by scripts/129_stepping_stone_archive.py,"g = -0.048, CI [-0.124, +0.028], n_studies = 16.0, source PMID:38528133. Classified measured_null against target g = 0.25.",measured_null,,,,PERMANENTLY_CLOSED
H-null-creatine,creatine enhances cognition in healthy adults.,healthy-adult ledger,REFUTED,2026-07-28,data/raw/healthy_adult_cognition_ledger.csv (enhances_healthy_young = 0); classification derived by scripts/129_stepping_stone_archive.py,"g = +0.030, CI [-0.140, +0.200], n_studies = 8.0, source PMID:35984306. Classified measured_null against target g = 0.25.",measured_null,,,,PERMANENTLY_CLOSED
H-null-dextroamphetamine,dextroamphetamine enhances cognition in healthy adults.,healthy-adult ledger,REFUTED,2026-07-28,data/raw/healthy_adult_cognition_ledger.csv (enhances_healthy_young = 0); classification derived by scripts/129_stepping_stone_archive.py,"g = +0.210, CI [-0.060, +0.470], n_studies = 10.0, source PMID:32709551. Classified underpowered against target g = 0.25.",underpowered,The interval ADMITS an effect of practical size: its upper bound reaches +0.470 against a target of 0.25. A label of 0 here asserts a refutation the data do not contain.,interval_excludes_target(dextroamphetamine),"Await or curate more precise evidence. This keystone resolves DOWNWARD: when it fires, the hypothesis is properly closed rather than revived.",DEAD
H-null-dietary_nitrate,dietary_nitrate enhances cognition in healthy adults.,healthy-adult ledger,REFUTED,2026-07-28,data/raw/healthy_adult_cognition_ledger.csv (enhances_healthy_young = 0); classification derived by scripts/129_stepping_stone_archive.py,"g = +0.060, CI [-0.060, +0.180], n_studies = 13.0, source PMID:29617153. Classified measured_null against target g = 0.25.",measured_null,,,,PERMANENTLY_CLOSED
H-null-folic_acid,folic_acid enhances cognition in healthy adults.,healthy-adult ledger,REFUTED,2026-07-28,data/raw/healthy_adult_cognition_ledger.csv (enhances_healthy_young = 0); classification derived by scripts/129_stepping_stone_archive.py,"g = +0.010, CI [-0.080, +0.100], n_studies = 9.0, source PMID:20569758. Classified measured_null against target g = 0.25.",measured_null,,,,PERMANENTLY_CLOSED
H-null-ginkgo_biloba,ginkgo_biloba enhances cognition in healthy adults.,healthy-adult ledger,REFUTED,2026-07-28,data/raw/healthy_adult_cognition_ledger.csv (enhances_healthy_young = 0); classification derived by scripts/129_stepping_stone_archive.py,"g = -0.040, CI [-0.170, +0.070], n_studies = 13.0, source PMID:23001963. Classified measured_null against target g = 0.25.",measured_null,,,,PERMANENTLY_CLOSED
H-null-guarana,guarana enhances cognition in healthy adults.,healthy-adult ledger,REFUTED,2026-07-28,data/raw/healthy_adult_cognition_ledger.csv (enhances_healthy_young = 0); classification derived by scripts/129_stepping_stone_archive.py,"g = +0.076, CI [-0.025, +0.176], n_studies = 8.0, source PMID:36678305. Classified measured_null against target g = 0.25.",measured_null,,,,PERMANENTLY_CLOSED
H-null-l_theanine,l_theanine enhances cognition in healthy adults.,healthy-adult ledger,REFUTED,2026-07-28,data/raw/healthy_adult_cognition_ledger.csv (enhances_healthy_young = 0); classification derived by scripts/129_stepping_stone_archive.py,"g = +0.350, CI [+0.100, +0.610], n_studies = 4.0, source PMID:40314930. Classified underpowered against target g = 0.25.",underpowered,The interval ADMITS an effect of practical size: its upper bound reaches +0.610 against a target of 0.25. A label of 0 here asserts a refutation the data do not contain.,interval_excludes_target(l_theanine),"Await or curate more precise evidence. This keystone resolves DOWNWARD: when it fires, the hypothesis is properly closed rather than revived.",DEAD
H-null-menopausal_hormone_therapy,menopausal_hormone_therapy enhances cognition in healthy adults.,healthy-adult ledger,REFUTED,2026-07-28,data/raw/healthy_adult_cognition_ledger.csv (enhances_healthy_young = 0); classification derived by scripts/129_stepping_stone_archive.py,"g = -0.161, CI [-0.666, +0.344], n_studies = nan, source PMID:38501109. Classified underpowered against target g = 0.25.",underpowered,The interval ADMITS an effect of practical size: its upper bound reaches +0.344 against a target of 0.25. A label of 0 here asserts a refutation the data do not contain.,interval_excludes_target(menopausal_hormone_therapy),"Await or curate more precise evidence. This keystone resolves DOWNWARD: when it fires, the hypothesis is properly closed rather than revived.",DEAD
H-null-psilocybin_lsd_microdosing,psilocybin_lsd_microdosing enhances cognition in healthy adults.,healthy-adult ledger,REFUTED,2026-07-28,data/raw/healthy_adult_cognition_ledger.csv (enhances_healthy_young = 0); classification derived by scripts/129_stepping_stone_archive.py,"g = -0.340, CI [-0.620, -0.060], n_studies = 14.0, source PMID:42365488. Classified measured_harm against target g = 0.25.",measured_harm,,,,PERMANENTLY_CLOSED
H-null-testosterone,testosterone enhances cognition in healthy adults.,healthy-adult ledger,REFUTED,2026-07-28,data/raw/healthy_adult_cognition_ledger.csv (enhances_healthy_young = 0); classification derived by scripts/129_stepping_stone_archive.py,"g = +0.090, CI [-0.020, +0.190], n_studies = 23.0, source PMID:31384712. Classified measured_null against target g = 0.25.",measured_null,,,,PERMANENTLY_CLOSED
H-roflumilast-durability,Low-dose roflumilast (100 ug) produces durable cognitive gain in healthy adults.,trash-can candidate,ABSTAINED,2026-09-20,reports/pipeline/trash_can_candidates_2026-09.md,"NOT TESTED, rather than failed. Roflumilast 100 ug is the only compound in the supplied list with genuine healthy-adult cognitive evidence: PMID 29241652 (healthy young, immediate recall up 2-3 words on a 30-word verbal learning task, enhanced P600) and PMID 30776650 (healthy 60-80, n = 20, delayed recall d = 0.69). EVERY such study is a single acute dose about 1 h before testing, so durability has never been measured. Caveats on the acute claim: the two studies disagree about which endpoint moves (immediate in the young, delayed in the old, spatial in neither, which is G3 assay-dependence inside one drug and one group); both come from the same group with industry co-authors; NCT02051335 (n = 27) found monotherapy did NOT improve verbal recall; and ROSTMEMA (PMID 42032844, n = 100) missed its pre-specified primary analysis.",wrong_endpoint,"Nobody has dosed a healthy adult with roflumilast and retested off drug. This is the most testable durability question the supplied list produced, and it is a curation and study-design task rather than a modelling one.",durable_healthy_rows(1),"If any verified durable healthy-adult row appears, roflumilast is the cheapest replication target in the list: approved, oral, sub-emetic at 100 ug, with two acute positives to anchor a washout design.",DEAD
H-tak071-ampa,"TAK-071 is a low-impact AMPA receptor positive allosteric modulator, and evidence that the AMPA-PAM class avoids first-generation ampakine liabilities.",trash-can candidate,REFUTED,2026-09-20,reports/pipeline/trash_can_candidates_2026-09.md,"TAK-071 is a muscarinic M1 receptor positive allosteric modulator with no AMPA mechanism at all (PMID 34240455 first-in-human, 177 healthy volunteers, safety/PK/qEEG only, no cognitive endpoints; PMID 39761063 Phase 2 in Parkinson disease). The low-impact-versus-first-generation framing is additionally a category error: CX516 is both the first ampakine into human trials (PMID 9270067) and the prototypical low-impact compound.",mechanism_contradicted,,,,PERMANENTLY_CLOSED
H-tanimoto-selfread,"Tanimoto-to-known-actives predicts within-target affinity strongly (SLC6A3 +0.90, SLC6A2 +0.91, DRD1 +0.85).",cluster_a/ranker,RETRACTED,2026-08-24,commit fd28421 area / tanimoto_ranker.py exclude_self fix,"The maximum was taken over an actives set CONTAINING THE QUERY, so the feature read each row's own ChEMBL record whenever its affinity cleared the threshold. On the Gap-4 evaluation set 143 of 289 rows scored exactly 1.000 and membership predicted that 1.000 with no errors in either direction. No train/test split can close it: the leak is inside the feature.",confounded,"The quoted correlations are uninterpretable, not merely optimistic. Current numbers live in tanimoto_baseline_v1.md and are deliberately not restated here, because a figure typed into prose is how the previous ones outlived their code.",tanimoto_excludes_self(),Nothing to revive; the corrected feature is live. The entry exists so the retracted numbers stay findable by anyone who meets them in an old document.,REVIVED
