compound,mechanism_class,supergroup,primary_domain,representative_g,ci_lo,ci_hi,n_studies,population,enhances_healthy_young,evidence_tier,citation_short,pmid_doi,robustness,verified,candidate_enhancer,n_participants,quote,red_flags,source_wave
anthocyanins,anthocyanin flavonoid (polyphenol); vascular/endothelial + neurotrophic signalling,other,global_cognition,0.46,0.3,0.63,11.0,mixed_healthy_and_impaired,1.0,mixed_pop,Micek 2025 GeroScience,PMID:41351717,"POPULATION CAVEAT (verified from full text): this is NOT a healthy-only pool. Text states subgroup analysis by health status showed no substantial difference (p_subgr>0.05) BUT 'the estimates often lost significance in the subgroup of participants without mental or cognitive problems' — i.e. the healthy-only signal is weaker than the headline. n_studies=11 'datasets' for general cognition (datasets, not necessarily unique trials); participant N for this pool not reported. I2=0.0% for global cognition but high for domains (visuospatial 76.3%, episodic memory 75.9%, processing speed 64.0%). Egger test detected publication bias for visuospatial/attention, working memory, episodic memory and psychomotor speed; trim-and-fill nullified visuospatial (SMD=0.08, 95% CI −0.13 to 0.29) and working memory (SMD=0.08, 95% CI −0.06 to 0.22). A published CORRECTION exists (PMID:41872401, doi 10.1007/s11357-026-02105-1) whose content I could NOT retrieve — verify numbers against the corrected version before publication. Independent estimates are much smaller/null: Cheng 2022 berries subgroup g=0.149 (95% CI 0.038–0.261, k=23); Lorzadeh 2025 (PMID:39875765) found no significant pooled effect on working memory (g=−0.183, 95% CI −0.407 to 0.041), verbal learning, immediate or delayed memory. Sign as reported (positive = better cognition); no flip applied.",agent_verified_2026-07,1.0,,"anthocyanin intervention significantly improved global cognition (standardized mean difference (SMD)=0.46, 95% CI=0.30 to 0.63, I2=0.0%)",population_ambiguous,2026-07_verified_expansion
flavonoids_total,dietary flavonoid (polyphenol) class-level aggregate; cerebral perfusion / BDNF,other,global_cognition,0.148,0.098,0.198,80.0,healthy_mixed_with_impaired,1.0,mixed_pop,Cheng 2022 Mol Nutr Food Res,PMID:35333451,"Largest flavonoid-cognition meta-analysis found (k=80, N=5519). POPULATION CAVEAT: pooled across healthy and cognitively impaired samples. Health-status moderator reported verbatim as 'larger effect sizes observed in cognitively unhealthy participants versus healthy participants (g = 0.306 and 0.103, respectively)' — so the HEALTHY-ONLY estimate is g=0.103, but its 95% CI and k are NOT recoverable from the accessible text, so I did not enter it as the representative value and did NOT estimate a CI for it. Domain sensitivity reported only as p-values in accessible text (long-term memory p=0.014, processing speed p=0.008). Benefits reported for chronic studies and low/medium doses. Note this row is the PARENT of the cocoa_flavanols row below (same paper) — the two are NESTED, not independent; do not sum or pool them. Sign as reported; no flip applied.",agent_verified_2026-07,1.0,5519.0,"the computed effect size, Hedge's g, was 0.148 (SE = 0.025, 95% CI 0.098–0.198, Z-value = 5.825, p < 0.001)",duplicate_of_existing;population_ambiguous,2026-07_verified_expansion
cocoa_flavanols,flavanol (flavan-3-ol polyphenol); nitric-oxide-mediated cerebral blood flow,other,global_cognition,0.224,0.014,0.434,11.0,healthy_mixed_with_impaired,1.0,mixed_pop,Cheng 2022 Mol Nutr Food Res,PMID:35333451,"Best available pooled SMD/g for cocoa flavanols. This is a SUBGROUP of the flavonoids_total row (same paper, PMID:35333451) — nested, not independent. CI lower bound 0.014 is barely above zero (p=0.036), so the result is fragile. POPULATION CAVEAT: not a healthy-only pool; paper's overall healthy-participant moderator was g=0.103 vs 0.306 in cognitively unhealthy, so the cocoa estimate in healthy adults alone is plausibly smaller than 0.224 — but no cocoa-by-health-status estimate is reported, so this cannot be quantified. Participant N for the cocoa stratum not reported. NOTE on the alternative source: the only cocoa meta-analysis restricted to healthy adults I located (Shateri 2023 Phytother Res, PMID:37211619) reports only weighted mean differences in raw units (executive function time WMD −11.77, 95% CI −22.49 to −1.05), NOT a standardizable g, so it was deliberately excluded rather than converted. Sign as reported; no flip applied.",agent_verified_2026-07,1.0,,"cocoa (k = 11, g = 0.224, 95% CI = 0.014–0.434, p = 0.036)",population_ambiguous,2026-07_verified_expansion
resveratrol,stilbene polyphenol; SIRT1 activation / cerebrovascular vasodilation,other,episodic_memory,0.39,0.08,0.7,3.0,healthy_mixed_plus_clinical_adults,1.0,mixed_pop,Marx 2018 Nutr Rev,PMID:29596658,"Only 3 of the 10 reviewed studies contributed to this single positive cognitive outcome (delayed recognition); n=166. I2=0%, low risk of bias, GRADE moderate-to-high per authors. Other pooled cognitive domains (processing speed, number facility, other memory measures) were not significant; the only other significant pooled result was negative mood (SMD −0.18), which is EXCLUDED here as a non-cognitive outcome. Authors' own conclusion: 'the current literature is inconsistent and limited.' MATERIAL CONTRADICTION: a later, broader systematic review and meta-analysis (Khorshidi 2021, Ageing Res Rev, PMID:33303422) reports that across 11 meta-analyses of human resveratrol/grape/wine trials there was 'no statistically significant effect' on cognitive and mood assessments, concluding human effects 'are likely to be small' — that paper's abstract gives no pooled numbers, so it could not itself be entered as a row. Treat 0.39 as an optimistic, narrow-outcome estimate. Sign as reported; no flip applied. VERIFY the population of the 3 pooled trials against the full-text forest plot before publication.",agent_verified_2026-07,1.0,166.0,"significant effect on delayed recognition (standardized mean difference [SMD], 0.39; 95% confidence interval [CI], 0.08-0.70; I2 = 0%; P = 0.01",very_few_studies;population_ambiguous,2026-07_verified_expansion
polyphenol_mixed,mixed (poly)phenol-rich supplementation; BDNF elevation / cerebral blood flow,other,working_memory,1.467,0.616,2.318,4.0,healthy_mixed,1.0,contested,Ammar 2020 J Clin Med,PMID:32466148,"Population is the strongest feature (explicitly healthy young/middle-aged, <60 y); the effect size is the weakest. MAGNITUDE IMPLAUSIBLE: g=1.467 with CI width ~1.7 on 4 trials / 145 participants (7 independent effect sizes after splitting multi-condition studies — I entered n_studies=4 TRIALS, the verbatim source count, not the 7 effect sizes). Effects skewed toward ACUTE rather than chronic dosing. Intervention is heterogeneous mixed polyphenols (not a single compound), so this row anchors the class, not any specific agent. Other outcomes in the same paper: simple reaction time ES = −0.926 (95% CI −1.672 to −0.180, 5 studies, n=141) where NEGATIVE = faster RT = IMPROVEMENT — pro-cognitive sign would be +0.926 with CI [0.180, 1.672] (sign flip only, no recomputation); rapid visual information processing was NULL (ES = 0.284, 95% CI −0.477 to 1.046, 3 studies, n=121). The headline BDNF result (ES=3.259) is a biomarker, not a cognitive outcome, and is excluded. Do not use this row as a precision estimate.",agent_verified_2026-07,1.0,145.0,"ES = 1.467, SE = 0.434, 95% CI 0.616 to 2.318, Z-value = 3.380, p = 0.001",implausible_effect_size;very_few_studies;other,2026-07_verified_expansion
multivitamin_mineral,broad micronutrient repletion (multivitamin-mineral supplement),other,global_cognition,0.07,0.03,0.11,3.0,healthy_older,1.0,clean_MA,Vyas 2024 Am J Clin Nutr,PMID:38244989,"MAJOR CAVEAT ON INDEPENDENCE: the 'meta-analysis' pools 3 cognitive substudies nested WITHIN a single parent trial (COSMOS-Clinic n=573, COSMOS-Mind n=2158, COSMOS-Web n=2472) that share intervention, protocol and sponsor - this is closer to one trial analysed three ways than to a synthesis of independent trials. Effect is a mean difference in SD units (SU), interpretable as an SMD. Cognition was a secondary outcome (COSMOS primary endpoints were CVD and cancer). Episodic memory 0.06 SU (0.03, 0.10), P=0.0007; COSMOS-Clinic alone was NON-significant for global cognition, 0.06 SU (-0.003, 0.13). Baseline cognitive status was not an entry criterion, so some undiagnosed impairment is possible. Independent corroboration from genuinely separate trials: Grima 2012 J Alzheimers Dis (PMID:22330823, DOI 10.3233/JAD-2011-111751), 10 RCTs n=3200 in cognitively intact adults >18 y, immediate free recall SMD 0.32 (95% CI 0.09-0.56) but null for delayed free recall -0.14 (-0.43, 0.14) and verbal fluency 0.06 (-0.05, 0.18), no heterogeneity or publication bias. Sign already oriented so positive = pro-cognitive; no sign flip applied.",agent_verified_2026-07,1.0,5203.0,"MVM benefits on global cognition [mean difference (95% CI) = 0.07 SU (0.03, 0.11); P = 0.0009]",very_few_studies;other,2026-07_verified_expansion
b_vitamins,"one-carbon metabolism / homocysteine lowering (B6, B9/folate, B12)",other,global_cognition,0.0,-0.05,0.06,4.0,healthy_older,0.0,clean_MA,Clarke 2014 Am J Clin Nutr,PMID:24965307,"NULL RESULT, and the best-powered evidence available. Individual-participant-data meta-analysis of 11 trials / ~22,000 participants; mean treatment duration 2.3 y (domain trials) to 5 y (global trials). Representative value is the domain-composite global cognition estimate from the 4 cognitive-domain trials (n=1340); the far better-powered MMSE-type global estimate was -0.01 (95% CI -0.03, 0.02) across 7 trials and 20,431 participants - also null. All domains null: memory 0.02 (-0.06, 0.10), speed 0.03 (-0.02, 0.08), executive function -0.05 (-0.14, 0.03). Homocysteine fell 26-28%, confirming biological engagement, so this is a genuine efficacy null rather than a dosing failure. POPULATION FLAG: participants were free of dementia, but several constituent trials were secondary-prevention vascular trials enrolling people with cardiovascular disease - 'healthy' here means cognitively healthy, not disease-free. Corroborated in a strictly cognitively-healthy population by Cochrane (Rutjes 2018, PMID:30556597, DOI 10.1002/14651858.CD011906.pub2): B vitamins, 14 studies, 27,882 participants, global cognition SMD -0.03 to 0.06 up to 5 y and SMD -0.01 at 5-10 y. CONTRASTING newer estimate deliberately NOT used as the row: Berg 2025 Nutr Rev (PMID:40966571) reports g=0.110 (95% CI 0.034-0.186, 17 RCTs, n=5275, GRADE high) but pools intact cognition, MCI and dementia together and so fails the healthy-adult criterion. Sign already oriented so positive = pro-cognitive; no sign flip applied.",agent_verified_2026-07,1.0,1340.0,"for global cognitive function (z score difference: 0.00; 95% CI: -0.05, 0.06)",very_few_studies,2026-07_verified_expansion
folic_acid,"one-carbon metabolism / homocysteine lowering (folate, alone or with other B vitamins)",other,global_cognition,0.01,-0.08,0.1,9.0,healthy_older,0.0,clean_MA,Wald 2010 Am J Med,PMID:20569758,"NULL RESULT with a tight CI that excludes anything beyond a ~0.1 SD benefit. DURATION LIMIT: median trial duration was only 6 months (range 1.2-36 months), so this bounds short-to-medium-term effects only; the authors themselves restrict the conclusion to 'within 3 years of the start of treatment' and it cannot speak to multi-year cognitive-decline trajectories. Results were reported as similar across memory, speed, language and executive-function categories. NOT INDEPENDENT of the b_vitamins row: substantial overlap in constituent trials with Clarke 2014 (PMID:24965307) - these two rows must not be treated as mutual replication. Folic acid was given alone in 4 trials, with other B vitamins in 4, and within a multivitamin in 1, so the row is not a pure folate-monotherapy estimate. Sign already oriented so positive = pro-cognitive; no sign flip applied.",agent_verified_2026-07,1.0,2835.0,"The standardized mean difference in cognitive function test scores was 0.01 (95% confidence interval [95% CI], -0.08 to 0.10)",,2026-07_verified_expansion
vitamin_d,secosteroid hormone / vitamin D receptor signalling (cholecalciferol repletion),other,global_cognition,0.128,,,24.0,mixed_healthy_and_impaired,,mixed_pop,Chen 2024 Neuropsychol Rev,PMID:37418225,"WEAKEST ROW IN THIS BATCH - two explicit caveats. (1) POPULATION IS MIXED, not strictly healthy: the pooled estimate combines community/healthy adults with 'vulnerable populations' (subgroup Hedges' g = 0.414) and participants with baseline vitamin D deficiency (g = 0.480), plus a no-biological-flaws subgroup at g = 0.549. Because the effect concentrates in deficient/vulnerable strata, the true effect in replete healthy adults is almost certainly SMALLER than 0.128 - this row should be filtered out of any healthy-adults-only analysis. (2) NO CI CAPTURED: the 95% CI for the pooled g = 0.128 is not reported in the abstract and the Neuropsychology Review full text is paywalled; only p = .008 is available. CI left null deliberately rather than back-computed from p - do NOT impute it. Effect was confined to global cognition; no significant effect in any specific cognitive domain (memory, executive, attention, processing speed). Preregistered PROSPERO CRD42021249908. In a strictly cognitively-healthy population Cochrane (Rutjes 2018, PMID:30556597) found no effect of vitamin D3 + calcium (1 trial, 4143 participants, MD -0.1 MMSE points, 95% CI -0.81 to 0.61) over a mean 7.8 y. Sign already oriented so positive = pro-cognitive; no sign flip applied.",agent_verified_2026-07,1.0,7557.0,"vitamin D significantly influenced global cognition (Hedges' g = 0.128, p = .008) but not specific cognitive domains",no_ci_reported;population_ambiguous;other,2026-07_verified_expansion
centella_asiatica,herbal triterpenoid saponins (asiaticoside/madecassoside),nonstimulant,working_memory,0.61,-0.25,1.48,3.0,mixed_healthy_and_clinical,0.0,mixed_pop,Puttarak 2017 Sci Rep,PMID:28878245,"NULL result - CI spans zero, I2=76.9%. Authors' own conclusion: 'There is not strong evidence to support the use of C. asiatica for cognitive function improvement in each cognitive domain.' Other pooled domains, all null: overall cognitive status 0.49 [-0.49,1.48] (k=3, n=153, I2=87.9%); attention/concentration score 0.37 [-0.48,1.22] (k=3, n=146); attention/concentration time 0.01 [-0.66,0.68] (k=2, n=34); executive function 0.17 [-0.19,0.53] (k=2, n=118); verbal memory 0.14 [-0.43,0.71] (k=3, n=152); visual memory 0.15 [-0.28,0.58] (k=3, n=132). POPULATION CAVEAT: parent review is 11 RCTs spanning healthy adult volunteers (Dev 2009, Wattanathorn 2008, Mato 2011, Bradwejn 2000, Carlson 2007, Harris 2011, Lewis 2014, Udani 2013), healthy elderly, plus children with ADHD (Katz 2010) and school-age children; the working-memory pool specifically mixes healthy adults (Wattanathorn 2008, Dev 2009) with school-age children (Sarokte 2013), so it is not a pure healthy-adult estimate. The only significant pooled outcome was alertness 0.71 [0.01,1.41], which I EXCLUDED as a subjective Bond-Lader mood scale, not an objective cognitive measure. No sign flip applied (score-based, higher = better).",agent_verified_2026-07,1.0,114.0,"Working memory (score) SMD: 0.61 (95%CI; -0.25 to 1.48), I2 = 76.9%",very_few_studies;population_ambiguous,2026-07_verified_expansion
exogenous_ketones,ketone body cerebral fuel substrate (BHB/acetoacetate); alternative brain energy substrate plus BHB signalling,other,global_cognition,0.36,0.18,0.54,,mixed_healthy_and_impaired_adults_unresolved,1.0,mixed_pop,Bonnechere 2026 Frontiers in Nutrition,10.3389/fnut.2026.1802531,"Row uses the HEALTHY-PARTICIPANT SUBGROUP, verified verbatim from p.18 of the published PDF. SIGN: no flip applied - the paper's own convention (Methods, p.3) is 'A positive SMD implies an increased cognitive function in comparison with the control group', so positive already = pro-cognitive. n_studies/n_participants for the healthy subgroup are NOT reported in the paper and were deliberately left null rather than estimated; the FULL meta-analysis pooled 29 protocols from 26 studies, 1,117 participants (systematic review: 38 studies/41 protocols, 1,602 participants). Overall pooled effect across all populations SMD = 0.29 [0.16-0.41], p<0.001. HETEROGENEITY VERY HIGH: I2 = 91% (forest plot 90.7%), random-effects model. Subgroup difference healthy vs MCI/AD was NOT significant (p = 0.077); MCI/AD subgroup SMD = 0.15 [0.01-0.30], p = 0.048. FORMULATION MATTERS: ketone ester SMD = 0.37 [0.14-0.60] vs MCT SMD = 0.15 [0.06-0.25] (these two subgroups are population-mixed, not healthy-only, so they are not reported as separate rows). Acute/immediate SMD = 0.39 [0.16-0.62] > long-term SMD = 0.19 [0.12-0.26] (duration p = 0.11 n.s.). Dose-response meta-regression in healthy: beta = 0.002 (SE 0.0005), p<0.001. Publication bias: Egger's intercept 2.65 (0.89), p = 0.08, no asymmetry; sensitivity analysis found no single influential study. Study quality high (mean PEDro 7.9 +/- 1.6). PROSPERO CRD42023471727. CAVEATS: (a) heterogeneous cognitive batteries collapsed to one SMD per study, so 'global cognition' is a composite, not a single domain; (b) the source's own health-status labelling is imperfect - Table 2 tags Lee 2021 (progressive multiple sclerosis) and Page 2009 (type 1 diabetes under induced hypoglycaemia) as 'healthy', so the healthy stratum may be slightly contaminated by non-healthy protocols; (c) healthy subgroup spans young students/athletes AND healthy older adults, hence healthy_mixed; (d) several healthy-participant protocols applied acute stressors (exercise, hypoxia) rather than resting conditions, though stressor subgroup difference was null (no stressor SMD = 0.28 [0.15-0.42] vs exercise SMD = 0.26 [-0.03-0.55], p = 0.89). SUPERSEDES a medRxiv preprint of the same work (PMID:41001501, doi 10.1101/2025.09.17.25335999) which reported smaller values (overall SMD 0.26, healthy 0.32 [0.10-0.55], k=18, n=875); the peer-reviewed Frontiers version published 15 April 2026 is used here.",agent_verified_2026-07,1.0,,"the effect on healthy subjects (SMD = 0.36 [0.18-0.54], p = 0.004)",population_ambiguous;other,2026-07_verified_expansion
testosterone,androgen_receptor_agonist,other,global_cognition_composite,0.09,-0.02,0.19,23.0,healthy_older_men,0.0,clean_MA,Buskbjerg 2019 J Endocr Soc,PMID:31384712,"Null overall (P=0.108); I2=0.0% for the primary outcome (no heterogeneity). Sign already positive=pro-cognitive, no flip applied. Effect shrinks to g=0.04 after publication-bias adjustment. All 11 individual domains nonsignificant (g -0.04 to 0.19). NO study included clinically hypogonadal men; 17/23 trials had testosterone within normal range, 6 low-normal. Secondary (post-hoc, selected) analysis restricted to trials that verifiably raised testosterone found composite g=0.18 [0.02,0.33], psychomotor speed g=0.22 [0.01,0.43], executive function g=0.15 [0.03,0.28] — subgroup-selected, do not use as the headline. DOI 10.1210/js.2019-00119.",agent_verified_2026-07,1.0,1638.0,The small improvement found in overall cognitive functioning (Hedges g = 0.09; CI 95%: -0.02 to 0.19) failed to reach statistical significance,,2026-07_verified_expansion
menopausal_hormone_therapy,estrogen_receptor_agonist_with_or_without_progestogen,other,episodic_memory_verbal,-0.161,-0.666,0.344,,healthy_postmenopausal_women,0.0,clean_MA,Andy 2024 Front Endocrinol,PMID:38501109,"Quote is the Table 2 whole-dataset row (SMD, 95% CI, P). Sign convention confirmed in the paper: negative SMD = worse performance than placebo, so the value is already oriented positive=pro-cognitive; no flip applied. Whole-dataset estimates null across every domain (global -0.343 [-1.239,0.553]; visual memory -0.270 [-1.07,0.53]; working memory -0.404 [-1.471,0.662]; fluency -0.356 [-0.881,0.169]; executive function -0.884 [-3.349,1.582]). Very high heterogeneity (all P<0.001 to 0.001). n_participants=27,593 is the WHOLE-REVIEW total (14,914 treated + 12,679 placebo across 34 RCTs), NOT the verbal-memory subset; the per-domain k is not reported in the paper, so n_studies left null rather than guessed. Inclusion required medically healthy women (no CVD, stroke, or dementia) or hysterectomy/oophorectomy. Subgroup-selected positives exist and should NOT be used as headline: midlife estrogen-only verbal memory SMD=0.394 [0.014,0.774]; surgical-menopause estrogen-only global cognition SMD=1.575 [0.228,2.921]. DOI 10.3389/fendo.2024.1350318.",agent_verified_2026-07,1.0,27593.0,"Verbal memory -0.161 (-0.666, 0.344) 0.478",other,2026-07_verified_expansion
melatonin,MT1_MT2_melatonin_receptor_agonist,other,task_accuracy_correct_responses,-0.74,-1.03,-0.45,,healthy_mixed,0.0,clean_MA,Sumsuzzman 2021 Neurosci Biobehav Rev,PMID:33957167,"IMPAIRMENT, not enhancement: the reported SMD is already signed so that negative = fewer correct responses = worse cognition, so it is entered unflipped as positive=pro-cognitive. This is the healthy-subject arm of a review that also covered Alzheimer's disease and insomnia populations (22 RCTs total across all three groups); the k and N contributing specifically to the healthy-subject accuracy estimate are not stated in the abstract, so both are left null rather than guessed. In the same healthy arm, reaction time was not worsened (p=0.37) and pooled short-term/spatial/visual memory was not reduced (p=0.08) — the impairment is confined to the accuracy composite and reflects daytime dosing (soporific effect), not nighttime use. Effect is measured against acute daytime administration only. DOI 10.1016/j.neubiorev.2021.04.034. NOTE: an initially retrieved PMID (34119538) for this paper was WRONG (it resolves to an unrelated Gulf War Illness study); PMID:33957167 was confirmed by two independent routes.",agent_verified_2026-07,0.0,,daytime melatonin treatment notably decreased accuracy by correct responses [SMD: -0.74 (-1.03; -0.45) p < 0.00001],acute_intoxication_state;other,2026-07_verified_expansion
oxytocin,oxytocin_receptor_agonist_intranasal,other,social_cognition_facial_emotion_recognition,0.29,0.154,0.429,7.0,healthy_mixed,1.0,contested,Shahrestani 2013 Neuropsychopharmacology,PMID:23575742,"SCOPE FLAG — the outcome is facial-emotion-recognition ACCURACY (social cognition), not one of the core domains (memory/attention/EF/processing speed/working memory/learning); drop this row if the ledger restricts to those. It is nonetheless an objective performance measure, not self-report or mood. Sign already positive=pro-cognitive, no flip. CI NOT reported in the abstract — ci_reported=false, nothing estimated. Small evidence base: 7 studies, 381 participants (71 female) — heavily male, single acute dose only. Domain-specific: significant effects were limited to happy and fear faces, with moderate effects only at particular exposure-time windows (<300ms happy/angry, >300ms fear), i.e. the pooled 0.29 masks a conditional pattern. This literature is also the epicentre of the intranasal-oxytocin replication controversy (small-sample publication bias); later broader meta-analyses find near-null emotion-recognition effects (e.g. Hedges g=0.08 in neurodevelopmental samples), so treat 0.29 as an upper bound. DOI 10.1038/npp.2013.86.",agent_verified_2026-07,1.0,381.0,"intranasal OT administration enhances emotion recognition of faces overall, with a Hedges g effect size of 0.29",very_few_studies;population_ambiguous;other,2026-07_verified_expansion
cannabidiol,"phytocannabinoid; CB1 negative allosteric modulator, 5-HT1A agonist, FAAH/anandamide reuptake inhibition",other,global_cognition,-0.048,-0.124,0.028,16.0,healthy_mixed,0.0,clean_MA,Lo 2024 Neuropsychopharmacology,PMID:38528133,"SIGN FLIPPED: the source codes POSITIVE g as IMPAIRMENT (CBD worse than placebo), so the pro-cognitive-signed value is -0.048. The CI is likewise negated and swapped: source Table 3 reports the objective row verbatim as 'Hedges' g = 0.048 (-0.028-0.124)', which becomes [-0.124, 0.028] here. ONLY the OBJECTIVE moderator level is used; the significant omnibus estimate (g=0.122, 95% CI 0.023-0.221, p=0.019) is NOT eligible because it is driven by SUBJECTIVE self-reported sedation (gSubjective=0.288), which is not a cognitive performance outcome. Objective category = 122 effect-size estimates across the 16 quantitatively pooled trials (20 studies screened in, 16 pooled). Omnibus I2 = 38.24% (moderate). Estimate is NULL (CI straddles zero) — CBD neither impairs nor enhances objective cognition acutely. Scope limits: ACUTE single-dose only (0-8 h post-administration), no chronic dosing; participants mostly cannabis-naive or minimally exposed; total participant N is NOT reported by the authors (individual studies ranged 10-43), so n_participants left null rather than estimated. Domain coded global_cognition because the objective estimate aggregates memory, psychomotor ability, driving, information processing, attention and higher-order function.",agent_verified_2026-07,1.0,,Hedges' gSubjective = 0.288 versus Hedges' gObjective = 0.048,,2026-07_verified_expansion
