identifier,registry,lane,ledger_compound,intervention,population,n,primary_cognitive_outcome,registry_status,expected_readout,prediction,pred_g,pred_ci_lo,pred_ci_hi,prediction_basis,prediction_reason,endpoint_tier,prediction_date,rule_committed_at,status,actual_outcome,url
NCT05483465,ClinicalTrials.gov,frontier,,"Nicotinamide riboside, registered as ""Oral NR, 1g/day per os for 8 weeks"", against a visually identical placebo. Sponsor: University of Oklahoma.","Community-dwelling adults aged 60-85 with Mini-Mental State Exam >=24, competent to consent; active CNS disease, recent stroke, major uncontrolled psychiatric illness, and abnormal kidney/liver function all excluded. Registry healthy-volunteers flag = Yes. My judgement: HEALTHY OLDER ADULTS. The MMSE >=24 floor screens out dementia; there is no cognitive-complaint entry requirement, so this is not a subjective-cognitive-decline cohort.",214 (ESTIMATED enrolment target),"Objective cognition sits in the secondary outcomes as a full NIH Toolbox panel: Attention (Flanker Inhibitory Control), Episodic Memory (Picture Sequence Memory Test), Working Memory (List Sorting), Processing Speed (Pattern Comparison), Executive Function and Language. The four primary outcomes are neurovascular coupling measured by fNIRS, transcranial Doppler, dynamic retinal vessel analysis and EEG — the fNIRS and Doppler measures are acquired while participants perform the cognitive n-back task, so a behavioural n-back readout exists but is not separately registered as a scored outcome.",Recruiting,Primary completion 2027-06 (estimated); overall completion 2027-12 (estimated). Last update posted 2026-04-01.,ABSTAIN,,,,not_mapped,nicotinamide riboside; no ledger row,primary,2026-09-20,2baedf8,PENDING,,https://clinicaltrials.gov/study/NCT05483465
NCT06041048,ClinicalTrials.gov,stimulant,,"Modafinil, single 200 mg oral dose vs. placebo, in healthy control subjects, with high-resolution neuromelanin-sensitive brainstem MRI (Phase 4)","Typically developing healthy adults aged 18-60; schizophrenia, psychosis, focal neurological disorder and severe substance use disorder excluded. Registry condition field reads ""Attention - no Condition is Being Assessed - Healthy Adults""; healthyVolunteers flag = true. My judgement: HEALTHY ADULTS.",40 (estimated enrolment),"CAVEAT — the sole primary outcome is BOLD brain activity, NOT a cognitive test. The objective cognitive measure is SECONDARY: response time and accuracy on the Oddball and POP sustained-attention tasks. Include only if secondary endpoints are acceptable to the project.",Recruiting,Primary completion and completion both 2026-12-19 (ESTIMATED); last update posted 2026-06-18,ABSTAIN,,,,endpoint_not_cognitive,"sole primary outcome is BOLD brain activity, not a cognitive test",primary,2026-09-20,2baedf8,PENDING,,https://clinicaltrials.gov/study/NCT06041048
NCT06367738,ClinicalTrials.gov,glutamatergic,,"Psilocybin, single dose, stated on the registration as 'Psilocybin 1-30 mg'. Outcomes assessed at baseline, week 1 and week 4.","Healthy older adults aged 60-85. HealthyVolunteers flag = true; condition listed as 'Aging'. Inclusion criteria are logistical and capacity-related (able to attend visits, swallow capsules, normal or corrected-to-normal vision, identified support person) with no disease requirement. Judgement: clean healthy-older-adult population — explicitly not MCI or dementia.",40 (estimated enrolment),"The PRIMARY outcome is imaging, not cognition: mean diffusivity in prefrontal cortex and hippocampus on diffusion-weighted MRI. The objective cognitive measures are SECONDARY, and they are a full neuropsychological battery: California Verbal Learning Test, Second Ed. (CVLT-II); Logical Memory and Visual Reproduction from the Wechsler Memory Scale-Third Edition; Penn Conditional Exclusion Test (PCET); recognition memory (REC); and lure discrimination index (LDI). Flagging the primary/secondary split explicitly so no one over-reads it.",Recruiting,Primary completion date 2026-12-30; study completion date 2027-12-30. Last update posted 2025-10-21.,ABSTAIN,,,,endpoint_not_cognitive,"primary outcome is imaging (mean diffusivity), not cognition",primary,2026-09-20,2baedf8,PENDING,,https://clinicaltrials.gov/api/v2/studies/NCT06367738
NCT06431932,ClinicalTrials.gov,frontier,,"Fisetin 20 mg/kg/day for two consecutive days, versus matching placebo capsules, with follow-up to three months. Sponsor: Ove Andersen, Denmark.","TWO COHORTS, and I am flagging the mix explicitly. Cohort 1: healthy volunteers aged 20-35 with suPAR <3.5 ng/mL, no chronic diagnosis, no prescribed medication except contraceptives, no prior cancer. Cohort 2: acutely hospitalised medical patients aged >=65 with suPAR >5 ng/mL and multimorbidity (>=2 chronic diagnoses). Registry healthy-volunteers flag = Yes, condition field lists both 'Multimorbidity' and 'Healthy'. My judgement: MIXED. Only the young cohort is healthy, and the three-month cognitive follow-up plausibly applies mainly to the older multimorbid cohort — the registration does not state which cohort each secondary outcome is scored in, which is the main weakness of this entry.","60 (ESTIMATED, across both cohorts)","Two objective cognitive measures registered as SECONDARY outcomes: the Digit Symbol Substitution Test (scored as number of correct symbols — an objective processing-speed test) and the Montreal Cognitive Assessment. Primary outcomes are a population pharmacokinetic model for fisetin and its metabolites, adverse events, and change in plasma suPAR.",Recruiting,Primary completion and overall completion both 2028-12-31 (estimated). Last update posted 2026-05-19. This is the most distant readout I am reporting.,ABSTAIN,,,,not_mapped,fisetin; no ledger row,primary,2026-09-20,2baedf8,PENDING,,https://clinicaltrials.gov/study/NCT06431932
NCT06682767,ClinicalTrials.gov,frontier,,"Rapamycin 1 mg daily for approximately 8 weeks, versus a fasting-mimicking diet (3 cycles of 5 days), versus matched placebo pill. Sponsor: Cedars-Sinai Medical Center.","Adults aged 45-65 carrying at least one APOE e4 allele, BMI 20-39, on stable medication for 3 months. Excludes significant depression (PHQ-9>9), generalised anxiety (GAD-7>9) and any diagnosed significant neurological condition. Registry healthy-volunteers flag = No. My judgement: COGNITIVELY HEALTHY MIDDLE-AGED ADULTS, GENETICALLY ENRICHED — flagging explicitly. APOE e4 carriage is a genotype, not a diagnosis, and no participant has dementia or MCI, so this is not a patient group; but the sponsor frames the sample as at elevated Alzheimer's risk, and a strict reading of 'healthy adults' may want this excluded. I report it because the risk enrichment is genetic rather than symptomatic.",60 (ESTIMATED enrolment target),Cognition is a registered SECONDARY outcome measured by the NIH Toolbox Flanker and Pattern Comparison tests together with the Mayo Preclinical Alzheimer's Cognitive Composite — all objective performance measures. The sole primary outcome is safety (number of adverse events); cerebral blood flow by arterial spin labelling is the other secondary.,Not yet recruiting,"Start 2026-11 (estimated), primary completion 2028-03 (estimated), overall completion 2028-06 (estimated). Last update posted 2026-09-16 — four days before this search, so the record is live and actively maintained rather than abandoned.",ABSTAIN,,,,not_mapped,rapamycin; no ledger row,primary,2026-09-20,2baedf8,PENDING,,https://clinicaltrials.gov/study/NCT06682767
NCT06690892,ClinicalTrials.gov,nutraceutical,,"Ready-to-eat beef, 25 oz/week (5 portions) vs control 5 oz/week (5 x 1-oz portions), for 12 weeks","Healthy adults aged 19-24, BMI 18.5-39.9, living within 75 miles of Lincoln, NE. Judgement: healthy adults. Explicitly excludes any diagnosed cognitive or metabolic disease, eating or anxiety disorders, and current/recent nicotine use.",240 (ESTIMATED),"WAIS-V (Wechsler Adult Intelligence Scale, 5th edition) plus NIH Toolbox Flanker, Dimensional Change Card Sort, and List Sorting Working Memory Test, all at baseline and 12 weeks",RECRUITING,Primary completion and overall completion both 2026-09 (estimated); last update posted 2026-05-29,ABSTAIN,,,,not_mapped,"beef portions; a whole-food exposure, not a compound",primary,2026-09-20,2baedf8,PENDING,,https://clinicaltrials.gov/study/NCT06690892
NCT06692192,ClinicalTrials.gov,glutamatergic,,"Psilocybin 25 mg or 1 mg, each combined with either midazolam or saline placebo, in a four-cell design. The midazolam regimen is explicitly intended 'to induce amnesia of the psychedelic experience without inducing over-sedation during the dosing session.' Participants also undergo MRI and TMS/EEG.","Adults aged 18-65, physically healthy, with no exclusionary DSM-5 psychiatric diagnosis. HealthyVolunteers flag = true. FLAG: participants are selected for a 'Modest decrement in self-reported wellbeing without the presence of a DSM-5 Axis I mood or anxiety disorder' — so this is a healthy, non-clinical sample deliberately enriched for mildly reduced wellbeing, not a patient group and not subjective cognitive decline. Stating it explicitly so the enrichment is visible.",60 (estimated enrolment),"'Change in Probabilistic Reversal Learning (PRL)' — an objective learning task in which participants choose between two stimuli, learn which is more likely to be rewarded from trial-by-trial feedback, and must re-learn when the contingency reverses. It is listed as a PRIMARY outcome alongside WEMWBS, BEAQ and TMS-evoked potential amplitude.",Recruiting,Primary completion and study completion both 2027-12. Last update posted 2026-08-13.,ABSTAIN,,,,post_acute_endpoint,follow-up study of persisting effects; the ledger estimate is acute/on-drug,primary,2026-09-20,2baedf8,PENDING,,https://clinicaltrials.gov/api/v2/studies/NCT06692192
NCT06768944,ClinicalTrials.gov,glutamatergic,,"Psilocybin (PEX010 capsules, drug substance PYEX 12.5-14.0% psilocybin) at high dose or low dose, combined with either risperidone 1 mg or inactive placebo. Risperidone is used to block the subjective effects of psilocybin. The registration does not state the mg values of 'high' and 'low'.","Healthy adults aged 18-65, all sexes and gender identities. HealthyVolunteers flag = true. Exclusions include any notable ECG or laboratory abnormality and current psychiatric diagnoses such as major depressive disorder, generalized anxiety disorder, panic disorder, social anxiety disorder and OCD. Judgement: clean healthy-adult population; the title itself says 'in Healthy Adults'.",128 (estimated enrolment),"The PRIMARY outcome is self-report (Persisting Effects Questionnaire), so the objective cognitive measures are SECONDARY — flagging that split. They are: 'Cognitive Flexibility', measured by the Berg Card Sorting Task, a set-shifting measure modelled on the Wisconsin Card Sorting Task scored on perseverative errors; and 'Reinforcement Learning', measured by a three-armed bandit task in which the reward probabilities of three targets change across trials.",Recruiting,Primary completion 2027-12; study completion 2028-01. Last update posted 2026-09-02.,ABSTAIN,,,,endpoint_not_cognitive,primary outcome is self-report (Persisting Effects Questionnaire),primary,2026-09-20,2baedf8,PENDING,,https://clinicaltrials.gov/api/v2/studies/NCT06768944
NCT06780774,ClinicalTrials.gov,stimulant,,"Capsule blend containing 120 mg caffeine plus vitamins, minerals and botanical extracts vs. placebo (17 mg marigold extract and brown rice flour); randomized double-blind placebo-controlled crossover, with acute testing on day 1 and chronic testing after 29 days of supplementation","Self-assessed healthy volunteers aged 18-75, habitual caffeine 40-500 mg/day, fluent English. Registry healthyVolunteers flag = true. My judgement: HEALTHY ADULTS, though note the population is self-assessed rather than clinically screened, and the 18-75 range spans healthy young and healthy older adults.",90 (estimated enrolment),"Attention cognitive domain factor score, derived from computerized tasks administered via the Computerised Mental Performance Assessment System (COMPASS, Northumbria University) — sole primary. Working Memory, Episodic Memory and Executive Function domain factor scores are secondary.",Not yet recruiting,Primary completion and completion both 2025-12-19 (ESTIMATED); last update posted 2025-02-10. STALE — stated start was 2025-02-24 and the record has not been updated in over 18 months while still flagged Not yet recruiting. Any prediction must be conditioned on the trial actually running.,ABSTAIN,,,,not_mapped,"caffeine blended with vitamins, minerals and botanicals; caffeine not isolable",primary,2026-09-20,2baedf8,PENDING,,https://clinicaltrials.gov/study/NCT06780774
NCT07119788,ClinicalTrials.gov,nutraceutical,,"6 g freeze-dried haskap (honeyberry) powder, or 6 g haskap powder fortified with potassium iodide, zinc bisglycinate, vitamin B5 and vitamin B12, vs calorie-matched colour/flavour-matched placebo powder. Acute (2 h) and 4-week arms.","Adults aged 50 and over with fruit and vegetable intake of 4 servings/day or less and normal BMI for age. Judgement: healthy adults. Excludes diagnosed psychological/psychiatric disorders, ADHD, dyslexia, cardiometabolic disease, untreated hypertension and blood thinners.",90 (ESTIMATED),"Delayed recall on the Rey Auditory Verbal Learning Task (RAVLT), at baseline, 2 hours and 4 weeks",RECRUITING,"Primary completion 2026-02 (estimated); overall completion 2026-04 (estimated); last update posted 2025-08-13. Both stated dates have passed with no results posted, so this is a completed-but-unpublished candidate.",ABSTAIN,,,,not_mapped,haskap/honeyberry powder; no ledger row,primary,2026-09-20,2baedf8,PENDING,,https://clinicaltrials.gov/study/NCT07119788
NCT07135232,ClinicalTrials.gov,stimulant,,"Two capsules delivering 20 mg sarmentosin plus 400 mg L-theanine daily vs. taste- and appearance-matched placebo, factorially crossed with home-based resistance training over 12 weeks — a compound-plus-training design","Perimenopausal women aged 40-55, not on HRT or hormonal contraception for at least one year, not currently resistance training. Registry healthyVolunteers flag = true. My judgement: HEALTHY ADULTS — perimenopause is a life stage, not a disease state — but flag that symptom burden is an enrolment focus and the co-primary endpoints are depressive symptoms, so this sits closer to the healthy/symptomatic boundary than the other findings.",72 (estimated enrolment),"Change in Sustained Attention, measured as the signal-detection sensitivity index A-prime on the CANTAB Rapid Visual Information Processing task, at Week 1 and Week 12 (listed among the primary outcomes). Verbal episodic memory and working memory performance are secondary.",Recruiting,Primary completion 2027-03-01 (ESTIMATED); overall completion 2027-04-01 (ESTIMATED); last update posted 2026-03-27,ABSTAIN,,,,not_mapped,"sarmentosin plus L-theanine, factorially crossed with resistance training",primary,2026-09-20,2baedf8,PENDING,,https://clinicaltrials.gov/study/NCT07135232
NCT07216781,ClinicalTrials.gov,hormonal,,"Klotho nonviral plasmid gene therapy, described as ""Injection of plasmid-delivered Klotho gene therapy"", administered by subcutaneous injection into abdominal fat. Dose not stated on the record. Assessments span 1 month pre-injection to 6 months post.","HEALTHY ADULTS - clean fit. Healthy-volunteers flag true; condition listed as ""Healthy Adults""; ages 23-90, all sexes. Exclusions are cancer history, preexisting conditions that could be exacerbated by treatment, and prior gene therapy within 12 months. Very wide age band (23-90) means the sample mixes young and older healthy adults.",14 (ACTUAL enrolment),"Cognition is secondary (all eight primaries are serum alpha-Klotho, FGF23, PTH, calcitriol, phosphorus, urinary phosphate, cystatin C and PRO-CTCAE adverse events). Objective cognitive endpoints: ""Change From Baseline in Flanker Inhibitory Control and Attention Test T-Score (Mean 50 +/- 10)"", ""Change From Baseline in Pattern Comparison Processing Speed Test T-Score (Mean 50 +/- 10)"", ""Change From Baseline in Picture Sequence Memory Test T-Score, Forms A and B (Mean 50 +/- 10)"", plus a ""Cognitive Performance Index and Domain Percentiles Derived From Kernel Flow functional near-infrared spectroscopy (fNIRS) and Behavioral Metrics"".",ACTIVE_NOT_RECRUITING,"Primary completion date 2026-08 (ESTIMATED); study completion date 2026-08 (ESTIMATED); start date 2025-10-06 (ACTUAL); last update posted 2026-08-27. hasResults is false. The estimated completion month has just passed, so this is an imminent readout.",ABSTAIN,,,,not_mapped,klotho gene therapy; no ledger row,primary,2026-09-20,2baedf8,PENDING,,https://clinicaltrials.gov/study/NCT07216781
NCT07235878,ClinicalTrials.gov,nutraceutical,,"Magnesium hydroxide 375 mg, 2 capsules per day for 12 weeks, vs placebo",Women aged 40-60 who self-assess as healthy and report troublesome perimenopause symptoms but are not post-menopausal. Judgement: healthy adults. Excludes anyone on antidepressant/antianxiety medication or any drug likely to affect cognition or sleep in the past 6 months.,58 (ESTIMATED),"Numeric working memory task % accuracy and reaction time; plus 3-back accuracy/RT, Corsi blocks span, alphabetic working memory, and word/picture recognition accuracy and RT, all as co-primaries",ACTIVE_NOT_RECRUITING,Primary completion 2026-10-18 (estimated); overall completion 2026-12-01 (estimated); last update posted 2026-08-05,ABSTAIN,,,,not_mapped,magnesium; no ledger row,primary,2026-09-20,2baedf8,PENDING,,https://clinicaltrials.gov/study/NCT07235878
NCT07267845,ClinicalTrials.gov,cholinergic,,Alpha-Glycerophosphocholine (α-GPC): one capsule containing 350 mg of GeniusPure® (containing 315 mg of pure α-GPC) daily before breakfast for 6 weeks. Comparator is one capsule of 350 mg microcrystalline cellulose daily for 6 weeks. This is the cleanest single-compound cholinergic test in the lane — no other active ingredient.,"Registry condition is 'Healthy Participants', ages 25-55, healthy-volunteers flag true. Inclusion requires good health as judged by the investigator, BMI 18.5-32.0, normotensive, and at least 2 years of muscle-strengthening or recreational moderate-intensity activity; highly trained or competitive athletes are excluded. My judgement: unambiguously healthy adults, with a mild fitness-selection skew toward recreationally active people.",80 (estimated enrolment),"Cognitive Performance - Stroop Test - Stroop total score: change (Δ) from Day 1 to Day 42 in the α-GPC group compared to placebo. Assessed 60 minutes after ingestion at baseline (visit 2, week 1, day 1) and end of study (visit 3, week 6, day 42). Secondary objective cognitive measures include Digit-Symbol Substitution Test, Go/No-go, and Sustained Attention to Response Task.",Recruiting,"Registry gives estimated primary completion 2026-05-15 and estimated study completion 2026-07-05, with last update posted 2026-12-09 [actual]. Note both stated completion dates have already passed as of today with the record still reading Recruiting and no results posted, so the true readout date is uncertain and may be imminent.",ABSTAIN,,,,not_mapped,alpha-GPC; no ledger row,primary,2026-09-20,2baedf8,PENDING,,https://clinicaltrials.gov/study/NCT07267845
